EQ.X EQ.X:ER.B
EQ.X EQ.X:EP.C
EQ.Y EQ.Y:FQ.A
EQ.Y EQ.Y:DQ.D

ER.X ER.X:ES.B
ER.X ER.X:EQ.C
ER.Y ER.Y:FR.A
ER.Y ER.Y:DR.D

ES.X ES.X:ET.B
ES.X ES.X:ER.C
ES.Y ES.Y:FS.A
ES.Y ES.Y:DS.D

ET.X ET.X:EU.B
ET.X ET.X:ES.C
ET.Y ET.Y:FT.A
ET.Y ET.Y:DT.D

EU.X EU.X:EV.B
EU.X EU.X:ET.C
EU.Y EU.Y:FU.A
EU.Y EU.Y:DU.D

EV.X EV.X:EU.C
EV.Y EV.Y:FV.A
EV.Y EV.Y:DV.D

FA.X FA.X:FB.B
FA.Y FA.Y:GA.A
FA.Y FA.Y:EA.D

FB.X FB.X:FC.B
FB.X FB.X:FA.C
FB.Y FB.Y:GB.A
FB.Y FB.Y:EB.D

FC.X FC.X:FD.B
FC.X FC.X:FB.C
FC.Y FC.Y:GC.A
FC.Y FC.Y:EC.D

FD.X FD.X:FE.B
FD.X FD.X:FC.C
FD.Y FD.Y:GD.A
FD.Y FD.Y:ED.D

FE.X FE.X:FF.B
FE.X FE.X:FD.C
FE.Y FE.Y:GE.A
FE.Y FE.Y:EE.D

FF.X FF.X:FG.B
FF.X FF.X:FE.C
FF.Y FF.Y:GF.A
FF.Y FF.Y:EF.D

FG.X FG.X:FH.B
FG.X FG.X:FF.C
FG.Y FG.Y:GG.A
FG.Y FG.Y:EG.D

FH.X FH.X:FI.B
FH.X FH.X:FG.C
FH.Y FH.Y:GH.A
FH.Y FH.Y:EH.D

FI.X FI.X:FJ.B
FI.X FI.X:FH.C
FI.Y FI.Y:GI.A
FI.Y FI.Y:EI.D

FJ.X FJ.X:FK.B
FJ.X FJ.X:FI.C
FJ.Y FJ.Y:GJ.A
FJ.Y FJ.Y:EJ.D

FK.X FK.X:FL.B
FK.X FK.X:FJ.C
FK.Y FK.Y:GK.A
FK.Y FK.Y:EK.D

FL.X FL.X:FM.B
FL.X FL.X:FK.C
FL.Y FL.Y:GL.A
FL.Y FL.Y:EL.D

FM.X FM.X:FN.B
FM.X FM.X:FL.C
FM.Y FM.Y:GM.A
FM.Y FM.Y:EM.D

FN.X FN.X:FO.B
FN.X FN.X:FM.C
FN.Y FN.Y:GN.A
FN.Y FN.Y:EN.D

FO.X FO.X:FP.B
FO.X FO.X:FN.C
FO.Y FO.Y:GO.A
FO.Y FO.Y:EO.D

FP.X FP.X:FQ.B
FP.X FP.X:FO.C
FP.Y FP.Y:GP.A
FP.Y FP.Y:EP.D

FQ.X FQ.X:FR.B
